id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4344676511950444,Dec-22,623,YES,2,$24295,Sep-02,2008,No
2731,825,Visa,Debit,4956965974959986,Dec-20,393,YES,2,$21968,Apr-14,2014,No
3701,825,Visa,Debit,4582313478255491,Feb-24,719,YES,2,$46414,Jul-03,2004,No
42,825,Visa,Credit,4879494103069057,Aug-24,693,NO,1,$12400,Jan-03,2012,No
4659,825,Mastercard,Debit (Prepaid),5722874738736011,Mar-09,75,YES,1,$28,Sep-08,2009,No
4537,1746,Visa,Credit,4404898874682993,Sep-03,736,YES,1,$27500,Sep-03,2012,No
1278,1746,Visa,Debit,4001482973848631,Jul-22,972,YES,2,$28508,Feb-11,2011,No
3687,1746,Mastercard,Debit,5627220683410948,Jun-22,48,YES,2,$9022,Jul-03,2015,No
3465,1746,Mastercard,Debit (Prepaid),5711382187309326,Nov-20,722,YES,2,$54,Jun-10,2015,No
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,Feb-23,908,YES,1,$99,Jul-06,2012,No
5144,1718,Mastercard,Debit,5495199163052054,Mar-22,677,YES,2,$31599,Oct-09,2009,No
2029,1718,Mastercard,Debit,5804499644308599,Jul-23,258,NO,2,$27480,Mar-02,2008,No
2379,1718,Mastercard,Debit,5766352389579834,Feb-20,992,YES,1,$26743,Mar-19,2019,No
2732,1718,Visa,Debit,4242015583697294,Jun-20,928,YES,1,$31463,Apr-14,2014,No
4706,1718,Mastercard,Debit,5191030913182493,Jun-24,360,YES,1,$16055,Sep-09,2009,No
281,708,Visa,Credit,4017261190134817,May-15,877,YES,2,$98100,Jan-11,2011,No
1106,708,Mastercard,Debit (Prepaid),5581970288727991,Jun-20,448,YES,1,$62,Feb-07,2007,No
5621,708,Visa,Debit,4032240655674503,Jun-22,53,YES,1,$132439,Nov-10,2011,No
5165,708,Visa,Debit,4935974646456357,Jun-20,649,YES,1,$125723,Oct-09,2010,No
5757,1164,Mastercard,Debit,5905027855347659,Jan-22,886,YES,1,$34900,Dec-99,2012,No
27,68,Visa,Credit,4099623033306950,Sep-21,74,YES,2,$9900,Jan-02,2019,No
4648,68,Visa,Debit,4281200324251212,Jul-13,865,YES,2,$21587,Sep-07,2007,No
5435,68,Visa,Credit,4411456925570768,Nov-22,922,YES,2,$15800,Nov-05,2011,No
3287,1075,Mastercard,Debit,5202477865497336,Apr-22,861,YES,1,$29964,Jun-05,2014,No
4761,1075,Mastercard,Credit,5089768442116305,Jul-23,686,YES,2,$11200,Sep-10,2010,No
5286,1075,Mastercard,Debit,5767339719294372,Dec-21,669,NO,2,$26753,Oct-14,2014,No
744,1711,Visa,Debit,4595831603224644,May-23,689,NO,2,$17480,Jan-20,2020,No
5559,1116,Mastercard,Debit,5341049613275152,Sep-21,396,YES,2,$26546,Nov-09,2009,No
4905,1116,Mastercard,Debit,5668831527649353,Jan-21,356,YES,1,$23253,Sep-17,2017,No
79,1116,Visa,Credit,4400056931148232,Feb-21,497,YES,1,$16100,Jan-05,2014,No
301,1116,Visa,Credit,4808554251869440,Feb-21,921,YES,2,$8700,Jan-12,2012,No
3115,1116,Mastercard,Debit,5224739362243611,Jan-19,922,YES,1,$29333,May-12,2012,No
3880,1752,Mastercard,Debit,5294178176133532,Jul-24,265,YES,2,$9496,Jul-09,2012,No
1766,192,Visa,Debit,4857799018106614,Jul-21,930,YES,1,$25499,Feb-20,2020,No
1767,192,Visa,Debit,4324062360619923,Feb-20,358,YES,1,$18641,Feb-20,2020,No
745,640,Visa,Debit,4852639114720724,May-23,995,YES,1,$26019,Jan-20,2020,No
1459,1679,Mastercard,Debit,5656383455895230,Jan-21,547,YES,1,$25845,Feb-20,2020,No
138,1094,Visa,Debit,4556928160477229,Jun-23,64,YES,2,$2365,Jan-07,2009,No
3755,1094,Mastercard,Debit,5515782790823587,Jun-23,419,YES,2,$18684,Jul-06,2017,No
1768,1094,Visa,Credit,4508388296516458,Feb-21,364,NO,2,$7400,Feb-20,2020,No
5924,1590,Mastercard,Debit,5548265564669334,Dec-24,145,YES,2,$4147,Dec-08,2016,No
6074,1660,Visa,Debit (Prepaid),4986270376099447,Apr-22,385,YES,1,$76,Dec-12,2012,No
5923,1660,Discover,Credit,6726060094896113,Jan-09,105,NO,1,$4700,Dec-08,2014,No
4223,1660,Visa,Credit,4157109762296149,Jun-21,433,YES,2,$5800,Aug-07,2011,No
4455,1660,Mastercard,Debit,5231462717450524,Mar-24,754,YES,2,$12082,Aug-16,2016,No
3234,1660,Mastercard,Credit,5074836567307562,Mar-23,741,NO,2,$6000,Jun-02,2010,No
1005,1660,Visa,Debit,4986369179342271,Nov-09,367,YES,1,$620,Feb-02,2014,No
151,1747,Mastercard,Debit,5892013969159900,Aug-22,879,YES,1,$14499,Jan-08,2008,No
4198,1747,Mastercard,Debit,5179157151686144,Jul-23,457,YES,2,$12332,Aug-07,2009,No
4403,1747,Mastercard,Debit,5569640141329524,Sep-24,904,YES,1,$18424,Aug-13,2013,No
4120,1747,Visa,Credit,4708914311449293,Jul-23,149,NO,1,$15400,Aug-03,2008,No
4224,1747,Visa,Debit,4795724941278913,Feb-22,136,YES,2,$14548,Aug-07,2013,No
4895,1747,Mastercard,Credit,5300159511214994,Dec-16,740,YES,2,$10100,Sep-16,2016,No
1028,153,Discover,Credit,6580244636542196,Apr-11,416,YES,1,$11200,Feb-04,2008,No
5956,153,Mastercard,Debit,5032457975030967,Oct-24,240,YES,2,$20291,Dec-09,2011,No
107,153,Visa,Debit,4382324870900908,Aug-18,852,YES,1,$32092,Jan-06,2010,No
440,153,Mastercard,Debit,5456808094753905,Feb-20,217,YES,1,$20463,Jan-20,2020,No
746,429,Visa,Debit,4465362453388909,Aug-22,738,YES,1,$15802,Jan-20,2020,No
1769,429,Visa,Debit,4668447208616693,Feb-20,314,NO,2,$4612,Feb-20,2020,No
421,429,Discover,Credit,6377595394803324,Jul-20,675,YES,2,$19900,Jan-20,2020,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,Oct-20,42,YES,1,$73,Feb-00,2012,No
4707,511,Mastercard,Debit,5377858405611171,Jan-24,24,YES,1,$11858,Sep-09,2010,No
7,511,Mastercard,Debit,5585238056278288,Mar-05,749,YES,1,$9664,Jan-98,2011,No
2212,511,Mastercard,Debit,5355281784290567,Jun-20,810,YES,1,$8367,Mar-09,2009,No
1038,511,Visa,Credit,4150093118072730,Jun-22,135,YES,2,$6100,Feb-04,2009,No
1460,309,Mastercard,Debit,5979295728871785,Feb-20,630,YES,3,$9944,Feb-20,2020,No
747,309,Visa,Credit,4473643731469839,Jan-20,771,YES,1,$7900,Jan-20,2020,No
1770,309,Visa,Credit,4800116569994473,Dec-20,201,YES,1,$5600,Feb-20,2020,No
748,777,Visa,Debit,4832328468851061,Aug-23,580,YES,1,$68400,Jan-20,2020,No
441,777,Mastercard,Debit,5278075482033392,Apr-23,437,YES,2,$77237,Jan-20,2020,No
3679,1946,Visa,Debit,4869845530765333,Aug-24,701,YES,2,$4488,Jul-02,2015,No
